NAME,female,state,county,tract,population,period
"Census Tract 1608, Cook County, Illinois",2723.0,17,31,160800,5477.0,2005-2009
"Census Tract 1609, Cook County, Illinois",1353.0,17,31,160900,2848.0,2005-2009
"Census Tract 1610, Cook County, Illinois",923.0,17,31,161000,1800.0,2005-2009
"Census Tract 1611, Cook County, Illinois",1022.0,17,31,161100,2037.0,2005-2009
"Census Tract 1612, Cook County, Illinois",1481.0,17,31,161200,2821.0,2005-2009
"Census Tract 1613, Cook County, Illinois",2094.0,17,31,161300,4497.0,2005-2009
"Census Tract 1701, Cook County, Illinois",1246.0,17,31,170100,2392.0,2005-2009
"Census Tract 1702, Cook County, Illinois",1860.0,17,31,170200,3531.0,2005-2009
"Census Tract 1703, Cook County, Illinois",2558.0,17,31,170300,5736.0,2005-2009
"Census Tract 1704, Cook County, Illinois",2155.0,17,31,170400,4071.0,2005-2009
"Census Tract 1705, Cook County, Illinois",2717.0,17,31,170500,5156.0,2005-2009
"Census Tract 1706, Cook County, Illinois",1335.0,17,31,170600,2680.0,2005-2009
"Census Tract 1707, Cook County, Illinois",1824.0,17,31,170700,3654.0,2005-2009
"Census Tract 1708, Cook County, Illinois",2023.0,17,31,170800,4021.0,2005-2009
"Census Tract 1709, Cook County, Illinois",966.0,17,31,170900,1759.0,2005-2009
"Census Tract 1710, Cook County, Illinois",3532.0,17,31,171000,7163.0,2005-2009
"Census Tract 1711, Cook County, Illinois",2180.0,17,31,171100,4501.0,2005-2009
"Census Tract 1801, Cook County, Illinois",3534.0,17,31,180100,6745.0,2005-2009
"Census Tract 1802, Cook County, Illinois",3179.0,17,31,180200,6589.0,2005-2009
"Census Tract 1803, Cook County, Illinois",705.0,17,31,180300,1222.0,2005-2009
"Census Tract 1901, Cook County, Illinois",1147.0,17,31,190100,2433.0,2005-2009
"Census Tract 1902, Cook County, Illinois",3292.0,17,31,190200,6320.0,2005-2009
"Census Tract 1903, Cook County, Illinois",2829.0,17,31,190300,5441.0,2005-2009
"Census Tract 1904, Cook County, Illinois",5072.0,17,31,190400,10282.0,2005-2009
"Census Tract 1905, Cook County, Illinois",1267.0,17,31,190500,2691.0,2005-2009
"Census Tract 1906, Cook County, Illinois",4687.0,17,31,190600,10031.0,2005-2009
"Census Tract 1907, Cook County, Illinois",4115.0,17,31,190700,7817.0,2005-2009
"Census Tract 1908, Cook County, Illinois",3584.0,17,31,190800,7297.0,2005-2009
"Census Tract 1909, Cook County, Illinois",938.0,17,31,190900,2007.0,2005-2009
